# Rime user dictionary
#@/db_name	bxm26J
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	64909
#@/user_id	1520d77d-d27c-4605-8f5b-f25221a59c49
a 	又	c=112 d=4.9658 t=64909
lhlc 	车	c=20 d=8.55442e-25 t=64909
lhln 	车辆	c=24 d=1.84452e-49 t=64909
lhsh 	东西	c=23 d=1.47902e-38 t=64909
lhv 	软	c=3 d=0.744531 t=64909
lhvf 	软件	c=72 d=10.4738 t=64909
lhvh 	软件包	c=1 d=0.105399 t=64909
lhvi 	车位	c=1 d=4.2608e-23 t=64909
lhvr 	软	c=4 d=2.12747e-58 t=64909
lhyg 	异步	c=16 d=0.708221 t=64909
lhz 	切	c=1 d=2.58362e-108 t=64909
li 	电	c=6 d=0.000290182 t=64909
libi 	电影	c=6 d=1.53449 t=64909
lidj 	电源	c=6 d=2.00375e-54 t=64909
lidl 	电池	c=1 d=4.37076e-58 t=64909
ligx 	较	c=3 d=2.12464e-42 t=64909
liij 	电话	c=35 d=1.51641 t=64909
lil 	忙	c=11 d=2.95472e-40 t=64909
lilh 	电车	c=1 d=1.5435e-77 t=64909
lini 	电脑	c=13 d=0.208045 t=64909
lisr 	电费	c=3 d=3.03616e-75 t=64909
litw 	电视	c=1 d=2.9458e-122 t=64909
lixz 	电力	c=3 d=9.80508e-109 t=64909
liz 	黽	c=1 d=2.62417e-56 t=64909
lizz 	电子	c=7 d=2.70409e-56 t=64909
lj 	性	c=50 d=4.28976 t=64909
ljb 	怕	c=4 d=1.30721e-34 t=64909
ljbx 	暂时	c=11 d=0.985112 t=64909
ljeb 	乐趣	c=1 d=1.32345e-91 t=64909
ljh 	毛	c=1 d=8.0638e-28 t=64909
ljjh 	毛病	c=1 d=4.03458e-87 t=64909
ljjx 	性质	c=9 d=4.38082e-54 t=64909
ljkl 	毛笔	c=7 d=5.05177 t=64909
ljl 	乐	c=1 d=2.93111e-122 t=64909
ljox 	性别	c=5 d=0.722527 t=64909
ljsj 	性感	c=1 d=1.9224e-42 t=64909
ljtb 	暂	c=3 d=1.81521e-28 t=64909
ljug 	毛利	c=3 d=5.55793e-107 t=64909
ljun 	性能	c=7 d=0.786628 t=64909
ljvi 	暂停	c=1 d=8.00016e-23 t=64909
ljy 	性	c=7 d=1.44292e-49 t=64909
ljyt 	毛坯	c=1 d=1.49011e-104 t=64909
ll 	比	c=52 d=1.0765 t=64909
llao 	比如	c=68 d=1.49834 t=64909
llfy 	比特	c=3 d=2.06967e-53 t=64909
lljb 	皆	c=1 d=5.06412e-55 t=64909
llli 	比较	c=50 d=1.39534 t=64909
llvh 	比例	c=4 d=2.44987e-33 t=64909
llx 	毕	c=1 d=1.51695e-20 t=64909
lnh 	辆	c=1 d=2.41033e-56 t=64909
lnhl 	辆	c=1 d=9.69889e-53 t=64909
lo 	点	c=98 d=0.915281 t=64909
lofu 	点击	c=34 d=1.94299 t=64909
loi 	占	c=22 d=1.68306e-66 t=64909
loll 	占比	c=35 d=5.47908e-09 t=64909
lonf 	占用	c=13 d=7.45357e-22 t=64909
los 	战	c=1 d=1.11643e-31 t=64909
lovi 	占位	c=48 d=4.33436 t=64909
lr 	快	c=3 d=0.970446 t=64909
lrbh 	快照	c=1 d=4.53878e-90 t=64909
lrff 	快捷	c=3 d=1.73131e-75 t=64909
lrfz 	快捷键	c=76 d=4.42108 t=64909
lrgt 	快递	c=2 d=8.47835e-59 t=64909
lri 	貞	c=1 d=2.10982e-107 t=64909
lriz 	贞	c=1 d=7.98278e-115 t=64909
lrlj 	快乐	c=1 d=1.98776e-53 t=64909
lrmz 	快速	c=13 d=1.63913 t=64909
lrz 	快	c=9 d=7.61254e-27 t=64909
ls 	转	c=48 d=0.964993 t=64909
lsdx 	转为	c=3 d=4.72512e-34 t=64909
lseu 	转出	c=1 d=1.27416e-115 t=64909
lsfh 	憾事	c=1 d=2.44154e-119 t=64909
lsfh 	转换	c=133 d=4.84127 t=64909
lsfi 	转接	c=2 d=8.32811e-105 t=64909
lshu 	转到	c=2 d=1.78726e-08 t=64909
lsix 	转变	c=3 d=2.72592e-12 t=64909
lsvj 	转入	c=2 d=8.81236e-43 t=64909
lsvl 	转化	c=4 d=2.60709e-38 t=64909
lsxa 	转发	c=6 d=2.96077e-73 t=64909
lsz 	怫	c=1 d=0.960789 t=64909
ltr 	頓	c=2 d=1.00201e-53 t=64909
lveu 	输出	c=74 d=3.85901 t=64909
lvfq 	轮播图	c=20 d=12.293 t=64909
lvfu 	轮播	c=8 d=5.51464 t=64909
lvl 	轮	c=12 d=8.70394 t=64909
lvvd 	输入法	c=3 d=0.831104 t=64909
lvvj 	输入	c=47 d=3.32013 t=64909
lx 	导	c=3 d=5.05518e-93 t=64909
lxeu 	导出	c=59 d=0.00169578 t=64909
lxhu 	导致	c=13 d=0.666977 t=64909
lxni 	导航	c=57 d=10.2341 t=64909
lxvb 	恢复	c=8 d=7.68347e-33 t=64909
lxvj 	导入	c=47 d=1.97032 t=64909
ly 	情	c=1 d=1.10702e-49 t=64909
lydo 	情况	c=236 d=0.53884 t=64909
lyi 	轴	c=6 d=3.76206e-29 t=64909
lyiz 	轴	c=22 d=1.10762e-26 t=64909
lyy 	悻	c=2 d=9.15761e-94 t=64909
lz 	已	c=185 d=13.5559 t=64909
lzbh 	轻易	c=1 d=9.92315e-116 t=64909
lzbh 	轻量	c=2 d=0.763456 t=64909
lzdl 	连	c=2 d=6.20767e-68 t=64909
lzfh 	轻抚	c=1 d=0.540641 t=64909
lzfi 	连接	c=70 d=1.61753 t=64909
lzi 	巴	c=1 d=1.61422e-104 t=64909
lziq 	轻	c=7 d=6.36415e-08 t=64909
lzix 	轻工业	c=1 d=1.56518e-94 t=64909
lzmg 	轻松	c=2 d=6.1326e-07 t=64909
lzvr 	已知	c=2 d=8.32764e-38 t=64909
lzwa 	连络	c=2 d=4.87332e-15 t=64909
lzwx 	连续	c=1 d=3.79911e-56 t=64909
lzwz 	已经	c=41 d=1.70288 t=64909
lzxn 	已有	c=5 d=1.59722e-09 t=64909
m 	来	c=293 d=6.57724 t=64909
ma 	权	c=8 d=3.70164e-15 t=64909
magh 	枚举	c=32 d=5.81007 t=64909
magm 	整数	c=7 d=3.53131e-49 t=64909
mai 	整	c=7 d=0.138069 t=64909
maii 	整理	c=7 d=2.43655e-31 t=64909
majj 	极	c=16 d=5.62306e-40 t=64909
mana 	极客	c=1 d=1.30157e-42 t=64909
mao 	格	c=2 d=0.00108628 t=64909
mapp 	权限	c=98 d=5.10794 t=64909
mapp 	极限	c=3 d=4.61336e-105 t=64909
masg 	树形	c=1 d=1.87175e-22 t=64909
masi 	格式	c=147 d=3.033 t=64909
masv 	格式化	c=7 d=1.99366e-17 t=64909
mavf 	格律	c=1 d=1.62694e-20 t=64909
mavi 	整个	c=7 d=4.2637e-31 t=64909
mavm 	整体	c=2 d=1.45366e-48 t=64909
maxd 	树	c=10 d=2.16205e-20 t=64909
mb 	想	c=75 d=1.72619 t=64909
mbax 	相对	c=14 d=1.66365 t=64909
mbds 	相减	c=3 d=4.71083e-38 t=64909
mbex 	查寻	c=1 d=3.01492e-42 t=64909
mbfp 	查报	c=5 d=0.744531 t=64909
mbfs 	查找	c=11 d=4.07587e-08 t=64909
mbge 	相当	c=4 d=1.22429e-42 t=64909
mbh 	查	c=6 d=4.07761e-06 t=64909
mbi 	相	c=7 d=7.93424e-14 t=64909
mbih 	查询	c=528 d=25.163 t=64909
mbjf 	查看	c=189 d=7.14381 t=64909
mbjg 	相应	c=3 d=0.748263 t=64909
mbkr 	相关	c=99 d=0.8045 t=64909
mbky 	相等	c=14 d=0.946485 t=64909
mbll 	相比	c=3 d=1.18016e-37 t=64909
mbmb 	想想	c=1 d=8.58313e-27 t=64909
mbmw 	相机	c=1 d=6.94107e-117 t=64909
mbnh 	相同	c=13 d=0.000205519 t=64909
mbsa 	想要	c=5 d=0.58567 t=64909
mbu 	想	c=3 d=3.23413e-67 t=64909
mbvi 	相信	c=2 d=0.822835 t=64909
mbvl 	相似	c=5 d=0.469949 t=64909
mbxo 	相加	c=1 d=3.56377e-39 t=64909
mchq 	榴	c=1 d=3.96519e-30 t=64909
mci 	框	c=13 d=0.891366 t=64909
mcxo 	框架	c=22 d=0.758211 t=64909
md 	术	c=2 d=5.33011e-32 t=64909
mdd 	杰	c=1 d=6.31867e-100 t=64909
mdii 	术语	c=1 d=1.67558e-43 t=64909
mdz 	述	c=2 d=2.22395e-21 t=64909
mfp 	梆	c=2 d=0.960789 t=64909
mfz 	楗	c=3 d=0.0780817 t=64909
mg 	标	c=13 d=2.23358e-13 t=64909
mgbn 	标明	c=1 d=3.24797e-65 t=64909
mgbt 	标题	c=39 d=5.92898 t=64909
mgdi 	标注	c=2 d=7.33798e-36 t=64909
mgdj 	来源	c=7 d=2.44803 t=64909
mgdv 	标准	c=19 d=0.463013 t=64909
mgg 	标	c=4 d=2.40698e-32 t=64909
mggr 	来头	c=1 d=6.93679e-51 t=64909
mggr 	标头	c=10 d=1.45031 t=64909
mgil 	标记	c=19 d=2.92055 t=64909
mgjb 	来自	c=1 d=2.25312e-86 t=64909
mgkv 	标签	c=62 d=4.28525 t=64909
mgma 	楼	c=17 d=1.21802 t=64909
mgna 	档案	c=1 d=1.17671e-32 t=64909
mgpg 	楼层	c=3 d=4.15836e-104 t=64909
mgsg 	梯形	c=1 d=1.39538e-96 t=64909
mgsn 	松散	c=1 d=4.57987e-49 t=64909
mh 	本	c=52 d=1.47318 t=64909
mhbr 	模	c=1 d=1.90476e-110 t=64909
mhdh 	本次	c=6 d=1.41731 t=64909
mhfl 	模拟	c=6 d=2.10602e-27 t=64909
mhfo 	构造	c=3 d=1.85543e-34 t=64909
mhfz 	构建	c=92 d=6.2975 t=64909
mhfz 	櫣	c=2 d=9.39061e-114 t=64909
mhgm 	模糊	c=2 d=5.44351e-52 t=64909
mhh 	未	c=115 d=10.6063 t=64909
mhh 	末	c=1 d=1.59132e-83 t=64909
mhi 	木	c=1 d=3.94541e-30 t=64909
mhih 	木工	c=1 d=2.20895e-59 t=64909
mhis 	束	c=2 d=0.631694 t=64909
mhix 	本文	c=3 d=0.302713 t=64909
mhkj 	模版	c=2 d=3.30852e-47 t=64909
mhmj 	模板	c=39 d=0.331434 t=64909
mhml 	枸杞	c=1 d=1.31528e-77 t=64909
mhmw 	本机	c=4 d=2.56033e-31 t=64909
mhng 	未完	c=1 d=0.782704 t=64909
mhnj 	本月	c=1 d=1.00386e-104 t=64909
mhr 	賴	c=1 d=4.25428e-05 t=64909
mhrj 	本身	c=2 d=1.57174e-55 t=64909
mhsg 	模型	c=11 d=1.81472 t=64909
mhsi 	模式	c=61 d=2.51505 t=64909
mhsj 	本我	c=1 d=2.05599e-97 t=64909
mhu 	构	c=4 d=1.21233e-53 t=64909
mhug 	本科	c=2 d=5.06507e-76 t=64909
mhvf 	本年	c=6 d=6.34212e-26 t=64909
mhvj 	本人	c=1 d=2.96379e-76 t=64909
mhwb 	模组	c=2 d=2.05017e-05 t=64909
mhyl 	本地	c=47 d=5.0972 t=64909
mhyr 	模块	c=152 d=23.425 t=64909
mhzj 	本金	c=20 d=8.48181e-110 t=64909
mi 	果	c=3 d=8.11532e-44 t=64909
miax 	校对	c=5 d=3.55796 t=64909
mid 	柱	c=25 d=1.88375e-26 t=64909
migg 	杭州	c=1 d=4.92266e-104 t=64909
misu 	核酸	c=13 d=1.23077e-75 t=64909
misv 	校验	c=34 d=3.38481 t=64909
miud 	核心	c=6 d=0.798299 t=64909
mizg 	核销	c=26 d=4.35502e-75 t=64909
mj 	板	c=9 d=1.15522e-21 t=64909
mja 	板	c=10 d=1.18423e-25 t=64909
mjm 	株	c=1 d=5.13262e-66 t=64909
mjrg 	桥	c=3 d=9.33979e-47 t=64909
mk 	栏	c=9 d=4.9598e-33 t=64909
mkg 	栏	c=26 d=3.14401 t=64909
mlbx 	耗时	c=2 d=1.38599 t=64909
mlhd 	栋	c=11 d=1.90184e-103 t=64909
mm 	林	c=3 d=4.28285e-104 t=64909
mmm 	森	c=1 d=6.64943e-112 t=64909
mmmm 	森林	c=1 d=2.19645e-51 t=64909
mmnf 	禁用	c=12 d=2.40627 t=64909
mmyi 	禁止	c=1 d=2.22351e-48 t=64909
mp 	根	c=7 d=1.45537 t=64909
mpdo 	概况	c=22 d=5.31001 t=64909
mpfp 	根据	c=46 d=5.15753 t=64909
mpgk 	概览	c=18 d=7.43747e-14 t=64909
mpmd 	概述	c=2 d=4.55469e-43 t=64909
mpvd 	概念	c=14 d=2.18914 t=64909
mrhv 	樱花	c=3 d=5.357e-40 t=64909
mshz 	栈	c=1 d=3.39932e-42 t=64909
mss 	棧	c=1 d=0.733447 t=64909
msyg 	横	c=1 d=0.76338 t=64909
mt 	杯	c=4 d=6.3866e-42 t=64909
mtiv 	柯里化	c=4 d=6.15621e-120 t=64909
mto 	柯	c=3 d=1.86304e-26 t=64909
mv 	检	c=7 d=4.87185e-50 t=64909
mvdr 	检测	c=6 d=0.540641 t=64909
mvmb 	检查	c=22 d=0.532592 t=64909
mvq 	梅	c=2 d=4.8682e-32 t=64909
mw 	机	c=9 d=2.40966 t=64909
mwjf 	机制	c=3 d=4.90792e-10 t=64909
mwkr 	机关	c=1 d=6.62662e-101 t=64909
mwmh 	机构	c=8 d=5.32199 t=64909
mwmh 	枕木	c=1 d=2.46463e-24 t=64909
mwoo 	机器	c=7 d=1.29625e-33 t=64909
mwvg 	机会	c=3 d=7.70215e-47 t=64909
mxa 	枝	c=1 d=2.43166e-42 t=64909
mxd 	村	c=3 d=1.59852e-75 t=64909
mxma 	榝	c=1 d=0.000513121 t=64909
mxny 	楠	c=1 d=6.16686e-108 t=64909
my 	样	c=134 d=1.24372 t=64909
myh 	杜	c=1 d=3.0321e-50 t=64909
myi 	柚	c=1 d=1.74023e-106 t=64909
mymj 	样板	c=1 d=0.995012 t=64909
mymw 	样机	c=1 d=1.33267e-55 t=64909
myqo 	桂圆	c=1 d=3.86728e-30 t=64909
mys 	檥	c=1 d=5.27724e-40 t=64909
mysi 	样式	c=160 d=10.9838 t=64909
myzz 	柚子	c=2 d=5.86429e-75 t=64909
myzz 	样子	c=2 d=5.89369e-75 t=64909
mz 	李	c=11 d=0.778801 t=64909
mziw 	速率	c=1 d=8.97275e-108 t=64909
mzjh 	速度	c=13 d=1.93378 t=64909
n 	用	c=367 d=6.11195 t=64909
na 	安	c=5 d=5.9043e-08 t=64909
nadi 	客户端	c=7 d=1.41706e-31 t=64909
nadl 	额外	c=3 d=1.17244e-48 t=64909
nadp 	客户	c=181 d=2.42013 t=64909
nadp 	客房	c=5 d=4.28724e-118 t=64909
nafx 	安排	c=3 d=1.09921e-54 t=64909
naig 	客商	c=2 d=2.59744e-104 t=64909
najh 	额度	c=3 d=1.37423e-34 t=64909
najt 	客厅	c=1 d=3.14395e-35 t=64909
naky 	安装	c=265 d=11.7486 t=64909
nanp 	客服	c=32 d=9.60846 t=64909
nao 	客	c=63 d=2.24161e-42 t=64909
naog 	阁	c=4 d=6.04063e-51 t=64909
naor 	额	c=27 d=0.759572 t=64909
nas 	鴳	c=1 d=1.61492e-21 t=64909
naug 	安利	c=1 d=6.91631e-75 t=64909
navh 	案例	c=1 d=0.000706633 t=64909
navi 	安全	c=18 d=2.66972 t=64909
nb 	间	c=14 d=8.05719e-27 t=64909
nbec 	间距	c=6 d=1.67706e-24 t=64909
nbfi 	间接	c=2 d=1.9799e-84 t=64909
nbhw 	闻	c=7 d=4.62952 t=64909
nbi 	官	c=1 d=1.09981e-31 t=64909
nbih 	官方	c=5 d=0.418699 t=64909
nbnx 	官网	c=7 d=1.07862e-08 t=64909
nbph 	间隔	c=1 d=1.30375e-91 t=64909
nbre 	幂	c=11 d=7.34577e-53 t=64909
nd 	门	c=8 d=1.24947e-32 t=64909
nddp 	门户	c=2 d=0.904779 t=64909
ndi 	门	c=1 d=6.61803e-27 t=64909
ndp 	舮	c=1 d=0.882497 t=64909
nf 	害	c=18 d=0.99145 t=64909
nfdp 	用户	c=238 d=20.0128 t=64909
nfdy 	用法	c=1 d=1 t=64909
nffl 	审批	c=31 d=3.37201e-06 t=64909
nffl 	用掉	c=2 d=8.05153e-120 t=64909
nfh 	用	c=12 d=4.23097e-28 t=64909
nfhu 	用到	c=1 d=2.67837e-120 t=64909
nfiy 	割让	c=1 d=1.50222e-111 t=64909
nfmb 	审查	c=2 d=7.21298e-36 t=64909
nfmi 	审核	c=32 d=0.960789 t=64909
nfng 	用完	c=1 d=0.522046 t=64909
nfp 	鄆	c=4 d=0.734914 t=64909
nfth 	用于	c=12 d=1.83009 t=64909
nfvh 	用例	c=8 d=0.782704 t=64909
nfvh 	用途	c=42 d=3.01978e-23 t=64909
ng 	实	c=34 d=2.55824 t=64909
ngb 	冒	c=2 d=0.960789 t=64909
ngbh 	容易	c=4 d=1.6424e-43 t=64909
ngbh 	容量	c=2 d=0.000528748 t=64909
ngbx 	实时	c=8 d=1.43471 t=64909
ngdh 	冒泡	c=1 d=1.0305e-118 t=64909
nges 	实践	c=4 d=2.15197 t=64909
ngeu 	突出	c=1 d=7.66243e-45 t=64909
ngf 	胖	c=3 d=3.34813e-40 t=64909
nghw 	突兀	c=1 d=5.26721e-47 t=64909
ngi 	空	c=26 d=0.759656 t=64909
ngih 	实施	c=2 d=1.16668e-100 t=64909
ngin 	空调	c=11 d=1 t=64909
ngiw 	实现	c=220 d=8.90444 t=64909
ngiz 	腾讯	c=20 d=4.5441 t=64909
ngja 	窗	c=7 d=1.62048e-32 t=64909
ngjb 	空白	c=6 d=4.66365e-27 t=64909
ngll 	完毕	c=1 d=2.72143e-43 t=64909
ngma 	完整	c=3 d=4.52581e-48 t=64909
ngma 	空格	c=27 d=1.4854e-08 t=64909
ngnb 	空间	c=10 d=6.27687e-22 t=64909
ngnf 	冒用	c=3 d=6.53283e-51 t=64909
ngnf 	实用	c=1 d=1.61125e-53 t=64909
ngoi 	窗口	c=48 d=0.565799 t=64909
ngoo 	容器	c=12 d=4.41427 t=64909
ngpg 	实际	c=33 d=1.78327 t=64909
ngqx 	空置	c=102 d=0.0579749 t=64909
ngsj 	完成	c=94 d=10.1134 t=64909
ngsv 	实验	c=2 d=3.94733e-48 t=64909
ngt 	罕	c=1 d=6.354e-48 t=64909
ngua 	实收	c=83 d=5.80896 t=64909
ngvh 	实例	c=12 d=6.66388e-20 t=64909
ngvi 	完全	c=11 d=1.98303e-25 t=64909
ngvm 	实体	c=20 d=0.786628 t=64909
ngvq 	脱敏	c=4 d=7.25338e-76 t=64909
ngw 	完	c=31 d=2.99501 t=64909
ngyk 	完善	c=66 d=10.5935 t=64909
ngz 	穵	c=1 d=0.579841 t=64909
nh 	同	c=156 d=3.59296 t=64909
nhbg 	同期	c=1 d=2.81187e-104 t=64909
nhbx 	同时	c=34 d=1.04656e-05 t=64909
nhdj 	同源	c=5 d=4.65319e-50 t=64909
nhfh 	同事	c=2 d=5.64335e-35 t=64909
nhgn 	同学	c=2 d=2.06179e-42 t=64909
nhi 	两	c=137 d=2.35983 t=64909
nhik 	同意	c=5 d=2.28018e-50 t=64909
nhjh 	宽度	c=11 d=0.786628 t=64909
nhmy 	同样	c=41 d=3.56564e-14 t=64909
nhnh 	同胞	c=1 d=0.955997 t=64909
nho 	同	c=5 d=7.14566e-42 t=64909
nhoq 	富	c=2 d=0.985112 t=64909
nhuy 	室	c=1 d=6.79668e-105 t=64909
nhvh 	同行	c=1 d=1.18129e-107 t=64909
nhvi 	两个	c=1 d=2.17934e-106 t=64909
nhvs 	宣传	c=1 d=1.24109e-41 t=64909
nhwk 	宽	c=3 d=3.90657e-42 t=64909
nhxh 	同业	c=1 d=2.72876e-104 t=64909
nhxu 	胸	c=1 d=3.35737e-43 t=64909
nhyg 	同步	c=32 d=5.8384e-23 t=64909
nhyl 	两地	c=1 d=8.45649e-58 t=64909
ni 	内	c=56 d=2.04949 t=64909
nid 	宔	c=1 d=1.20392e-95 t=64909
nidb 	宝	c=1 d=1.21602e-95 t=64909
nieb 	内嵌	c=4 d=1.88748e-91 t=64909
nih 	闰	c=4 d=2.1582 t=64909
niik 	内部	c=43 d=0.913556 t=64909
nimi 	内核	c=2 d=5.85819e-113 t=64909
ning 	内容	c=262 d=8.61781 t=64909
ning 	航空	c=1 d=4.43804e-120 t=64909
nini 	宝宝	c=4 d=7.28554e-42 t=64909
nipk 	内屏	c=2 d=5.83619e-40 t=64909
niqx 	内置	c=7 d=9.05196e-06 t=64909
niuo 	航程	c=1 d=1.27871e-10 t=64909
nivf 	闰年	c=3 d=0.774917 t=64909
niw 	航	c=1 d=0.0441572 t=64909
nixi 	内存	c=19 d=0.975944 t=64909
nixu 	脑	c=1 d=3.29829e-40 t=64909
nj 	月	c=179 d=0.809936 t=64909
njha 	月盈	c=1 d=1.84194e-39 t=64909
njjh 	月度	c=96 d=0.00489462 t=64909
njvg 	月份	c=40 d=1.57056e-19 t=64909
njvs 	月供	c=1 d=9.2476e-110 t=64909
nl 	军	c=1 d=3.97693e-06 t=64909
nlj 	它	c=34 d=1.05171 t=64909
nlvj 	军人	c=1 d=1.7752e-46 t=64909
nlvn 	它们	c=1 d=6.44893e-46 t=64909
nmh 	宋	c=1 d=9.47682e-104 t=64909
nmvm 	宋体	c=1 d=0.000196471 t=64909
nn 	朋	c=1 d=3.45282e-108 t=64909
nns 	鵬	c=33 d=2.04069 t=64909
nnxa 	朋友	c=1 d=0.267136 t=64909
no 	问	c=35 d=2.07862e-20 t=64909
nobt 	问题	c=210 d=8.66047 t=64909
nokv 	问答	c=2 d=1.38391 t=64909
np 	服	c=3 d=0.859066 t=64909
npao 	服务器	c=7 d=6.93112e-12 t=64909
npax 	服务	c=183 d=21.0408 t=64909
nq 	家	c=38 d=0.264477 t=64909
nqi 	盘	c=15 d=0.97531 t=64909
nqii 	家里	c=3 d=1.18729e-49 t=64909
nqjj 	家庭	c=1 d=4.29776e-07 t=64909
nrto 	寄	c=1 d=9.59356e-101 t=64909
ns 	写	c=88 d=4.40854 t=64909
nsh 	肼	c=1 d=1.44522e-09 t=64909
nshd 	闯荡	c=1 d=1.97442e-62 t=64909
nshu 	写到	c=1 d=4.17901e-89 t=64909
nsvj 	写入	c=3 d=0.995361 t=64909
nt 	定	c=39 d=0.483416 t=64909
ntbx 	定时	c=21 d=1.384e-19 t=64909
ntdx 	定义	c=184 d=6.93556 t=64909
nth 	宇	c=1 d=0.771052 t=64909
ntjf 	定制	c=23 d=1.78968e-42 t=64909
ntjn 	定向	c=7 d=1.56154 t=64909
ntui 	定稿	c=1 d=1.20065e-63 t=64909
ntvi 	定位	c=5 d=0.687289 t=64909
ntvv 	定价	c=2 d=3.81892e-29 t=64909
nu 	密	c=2 d=1.19429e-30 t=64909
nuo 	胎	c=3 d=1.2811e-32 t=64909
nups 	密码	c=55 d=6.48152 t=64909
nusa 	闷骚	c=4 d=1.12846e-10 t=64909
nuzn 	密钥	c=9 d=1.48371e-30 t=64909
nvj 	肉	c=4 d=3.84409e-70 t=64909
nvj 	闪	c=1 d=4.4724e-05 t=64909
nvrl 	闪烁	c=1 d=2.20274e-114 t=64909
nvs 	阀	c=1 d=1.47844e-41 t=64909
nvui 	腹稿	c=1 d=3.05665e-86 t=64909
nw 	船	c=2 d=0.748263 t=64909
nwa 	股	c=3 d=1.75545e-32 t=64909
nwa 	般	c=2 d=0.767206 t=64909
nwab 	般	c=10 d=3.70865e-30 t=64909
nwzz 	肠子	c=1 d=6.87362e-61 t=64909
nx 	守	c=3 d=3.20964e-43 t=64909
nxfd 	守护	c=1 d=8.87348e-36 t=64909
nxg 	剜	c=1 d=1.09865e-48 t=64909
nxgg 	刚	c=1 d=1.10416e-48 t=64909
nxhl 	闭包	c=2 d=3.56689e-16 t=64909
nxik 	网站	c=32 d=3.10366 t=64909
nxjb 	闭	c=4 d=2.80677e-16 t=64909
nxkr 	网关	c=1 d=8.73479e-86 t=64909
nxlo 	网点	c=3 d=1.08153e-116 t=64909
nxmz 	网速	c=2 d=1.87807e-54 t=64909
nxnx 	刚刚	c=33 d=2.43091e-09 t=64909
nxph 	守卫	c=4 d=3.07747e-113 t=64909
nxtr 	网页	c=6 d=0.468946 t=64909
nxu 	宏	c=21 d=0.980199 t=64909
nxwa 	网络	c=51 d=2.74354 t=64909
nxx 	网	c=21 d=0.970504 t=64909
nxyl 	网卡	c=2 d=6.88393e-108 t=64909
nxyy 	网址	c=14 d=1.6524 t=64909
nxzn 	网通	c=4 d=1.08153e-103 t=64909
nxzz 	脖子	c=3 d=6.78607e-72 t=64909
ny 	周	c=63 d=0.704688 t=64909
nybg 	周期	c=71 d=2.3319 t=64909
nybi 	周日	c=2 d=1.13504e-49 t=64909
nyh 	肚	c=1 d=1.1982e-39 t=64909
nyig 	周六	c=5 d=5.86967e-27 t=64909
nymh 	脚本	c=42 d=5.52553 t=64909
nyo 	周	c=23 d=9.75922e-19 t=64909
nyxz 	周边	c=5 d=6.15238e-51 t=64909
nz 	字	c=21 d=0.895536 t=64909
nzfw 	字段	c=239 d=7.51259 t=64909
nzhp 	字节	c=2 d=1.37833e-104 t=64909
nzkf 	字符串	c=131 d=5.01635 t=64909
nzkv 	字符	c=29 d=2.03095e-42 t=64909
nzql 	字母	c=9 d=7.82754e-42 t=64909
nzsg 	字典	c=69 d=12.2214 t=64909
nztq 	字面	c=5 d=6.41578e-45 t=64909
nzvm 	字体	c=87 d=7.81192 t=64909
o 	哪	c=166 d=3.05364 t=64909
oaam 	嗓	c=1 d=1.2888e-73 t=64909
ob 	喝	c=6 d=2.56915e-42 t=64909
obix 	喝水	c=1 d=2.72839e-73 t=64909
ocdr 	虽然	c=3 d=0.231078 t=64909
oe 	岳	c=1 d=2.5829e-46 t=64909
of 	啦	c=1 d=0.778801 t=64909
og 	只	c=166 d=2.78463 t=64909
ogix 	只读	c=3 d=3.23771e-49 t=64909
ogj 	只	c=1 d=1.18249e-119 t=64909
ogsa 	只要	c=9 d=1.18087 t=64909
ogxn 	只有	c=2 d=9.03883e-18 t=64909
ohsb 	唤醒	c=4 d=0.000798978 t=64909
ohx 	哎	c=2 d=8.28626e-54 t=64909
oi 	口	c=3 d=0.722527 t=64909
oiiw 	呈现	c=1 d=2.25872e-27 t=64909
oiwi 	口红	c=1 d=1.55778e-09 t=64909
oj 	听	c=2 d=1.11393e-34 t=64909
ojb 	咱	c=20 d=9.88807e-45 t=64909
ojbi 	嗜睡	c=1 d=7.10854e-74 t=64909
ojig 	听说	c=1 d=1.21796e-55 t=64909
ojjg 	响应	c=26 d=3.37873 t=64909
ojmm 	嘛	c=1 d=2.06635e-68 t=64909
ojno 	响	c=1 d=3.69813e-92 t=64909
ojoa 	呼吸	c=1 d=9.83875e-45 t=64909
ojoj 	嘟嘟	c=1 d=3.67969e-92 t=64909
ojvn 	咱们	c=2 d=1.85363e-84 t=64909
ojzv 	响铃	c=1 d=1.39828e-91 t=64909
ol 	吧	c=225 d=1.24006 t=64909
om 	味	c=6 d=1.37265 t=64909
omh 	呆	c=1 d=1.58343e-54 t=64909
omkj 	味道	c=2 d=1.33684e-33 t=64909
omrk 	呆账	c=1 d=3.30549e-95 t=64909
ong 	剈	c=1 d=1.18446e-21 t=64909
oo 	品	c=13 d=1 t=64909
oogm 	品类	c=5 d=2.30465e-24 t=64909
ookj 	品牌	c=33 d=2.64582e-50 t=64909
ooo 	品	c=6 d=2.45952e-20 t=64909
ooro 	器	c=264 d=11.5635 t=64909
op 	啊	c=24 d=8.61365e-27 t=64909
opl 	呢	c=70 d=4.10162e-31 t=64909
oqru 	嗯	c=177 d=1.63504e-26 t=64909
or 	员	c=6 d=1.54003 t=64909
ori 	員	c=16 d=0.000377943 t=64909
